waste	19.71901464602926	-2050.717185510568
mep	1.1910845981260998	241.83175435675435
gcc	3.022252647250003	17.616786073403716
human	4.737772644575722	-7935.796212366065
shaft	3.3356317151096384	1131.602716646099
stefnie	3.7849054466965057	NaN
blast	5.175152757371105	-291.00986415545236
wet	7.341189010591826	-3055.348137320196
appoint	2.6158831795121564	-182.3818384230149
autocad	9.520425512633999	-290.94700316023847
mechanical	2.521697249071296	-2386.7700895509715
treatment	7.315694315033246	-820.4356711915536
n3	9.262933652972148	NaN
hvac	1.8971565194988393	-716.3506069094304
millwright	1.2417870369817834	-593.6555604526193
safe	10.911361637675586	4204.07986906884
n5	12.319548664612839	7859.643351256586
certificate	4.010977937512349	959.6347276089923
prefer	6.439419266873305	-1119.1452929423517
steel	10.364724616162048	866.4530016552076
draughtsman	6.412521141644387	-178.49648700972227
revit	5.3547933004215995	1695.4797481929836
foreman	15.543688571354396	-856.3584059731118
resident	3.4538439040583775	-1045.4567267699622
underground	2.6828684518518475	-7.476560939060939
disciplinary	4.808359835132521	490.8071106997577
fault	9.886777596901268	-302.462372757961
highway	3.652313638650778	1738.3772495478374
township	1.4298535223250326	-2421.7819932518464
reinforce	7.021159425655291	-833.782914716003
year_experience	6.672261064487323	NaN
q	3.0452467734423365	-1386.5467919335567
grad	6.84222127833635	-714.6746191716779
postgraduate	1.837297542409095	-56.70692918192918
earthwork	6.9022887280218885	-3.149955110249228
claim	3.9975996133382488	NaN
chain	18.274237754599717	-1903.0438982586043
mine	4.0050272389045425	-1431.8725720358075
beng	11.400664449180582	600.1455786860199
supervisory	2.714193820881839	554.0493579949463
water	4.8732423507612115	-4914.412443194061
concrete	7.114469084088162	1304.4433683146917
civil	3.565388813496871	-3250.910496611232
storm	5.733020933347149	32865.365428852194
technician	13.399765575182446	822.7479420089713
possibility	2.565882536277993	NaN
section	2.195075826982288	-906.7913253413253
manufacture	2.7156443708970106	NaN
