pan	4.904868840770904	-1208.0117018602314
diesel	0.7549068723462042	-2734.036783722813
démontage	3.516259884903395	-1231.9398040684805
climatique	0.34141098835624284	404.03311688311686
correct	4.367614787938051	130.18530170809584
assainissement	3.2517028252349167	-1957.1940517815517
eau	1.421961867748366	9396.448212000418
poids	4.694426023532063	1512.1502100840337
veolia	4.885179465585795	3620.168591375944
solid	1.2075530965235863	-209.28010151613094
like	1.106952487822367	-168.64181978152567
électricité	2.6412847286011942	-1199.902150137444
vidange	6.607967292938049	3766.962257513728
engin	2.6327272005619573	-1217.4344990793518
remettre	2.858680932050646	-4826.338333969952
recyclage	3.049315739943859	-2654.9350875431755
électrotechnique	0.4574387972485532	-42.2094270108976
composant	7.25568196446884	-1004.0300513212278
ouvrier	0.6544583118717355	10684.505371507577
esser	3.3016827063095295	-602.8259985112927
h_f	0.7771107546686385	-1140.422559466677
cs	2.5459353178303967	-431.5148825847355
appareil	0.14703270269059843	-1212.4127828054297
all	0.807271252433674	-105.24894909012562
peintre	1.047183174980157	-3610.9367478110125
lourd	5.126780220050717	636.5043068043068
mécanicien	4.821842742398175	-2851.833141858142
pl	3.5843626749978563	-2296.303306823895
thermique	0.2555863904871174	-3671.181355327679
air	1.9195513489820808	1057.4210803085803
outillage	3.681844347295554	-3099.9905849052907
bold	8.267730144877028	-100.08893557422971
full	4.4248269006609355	-2529.4163730876962
technology	5.531996892459659	312.9423368298368
contractuel	2.888570198113513	NaN
