Words in 2016: 95
Words in 2017: 6297
Common words: 69
fish	-67.22814029048446
complianc	-61.058844328191014
disappoint	-61.058844328191014
scenery	-61.058844328191014
standout	-61.058844328191014
valu	-58.57493827951699
regi	-58.57493827951699
enrol	-53.22161239537374
subsequently	-49.89385259808223
ide	-48.42981971569368
sizable	-46.347080680001596
registration	-46.307601861295296
affiliation	-43.294082539726276
damage	-41.50272035002236
alike	-41.28105686660303
faceted	-40.69313758068772
secretarial	-37.880455541713005
paediatric	-37.3848579098042
prospective	-36.39050619099719
injury	-36.08080278358544
devote	-35.82689532063576
bridge	-35.346571372569706
exactly	-35.26201208295656
accomplish	-35.217459862328255
suburban	-34.04367773014992
sole	-33.080793714209946
leap	-32.66789809538356
clearance	-30.844716414620986
managerial	-30.44658722137387
ombudsman	-29.378983289227612
steadily	-28.97145372443524
busine	-28.97145372443524
immigrant	-27.703777596681647
consultative	-27.648828692512236
autonomous	-25.86618000978942
cfa	-25.24998296843905
away	-25.100970394723095
joint	-24.630633042509775
darwin	-22.133643311151516
dedication	-21.408489260058726
paraplanner	-19.194897994798147
fraud	-19.066447226211512
connection	-19.047942257784115
fair	-18.39659879849483
outgo	-18.205553647087584
genuinely	-17.840134472084983
workflow	-17.18065624954712
gst	-16.694731695028423
array	-16.362623139063587
allocation	-16.298022265142084
accountancy	-13.997832922421242
ethical	-13.886485332265947
quarterly	-13.865156560093936
net	-13.232680143860893
auditor	-10.475997125417159
agent	-9.804108844064379
supervisor	-9.39985636045547
income	-7.646150823177237
taxation	-6.681893544040286
cpa	-4.769479790688316
ba	-4.728609491450994
bookkeeping	-4.660754968164026
sme	-4.401367306155603
statutory	-4.336456080920351
audit	-3.6659965572543682
ledger	-1.689279466101281
recruiter	-0.9619131238402634
payroll	0.7826225016972099
receivable	2.821715091861214
