Words in 2016: 111
Words in 2017: 4379
Common words: 86
mathematical	-59.139886383257945
hawker	-57.56085519567701
beater	-56.674428143499995
app	-56.674428143499995
lightweight	-56.674428143499995
political	-51.158880700163806
closure	-50.94618653352208
primavera	-50.94618653352208
suc	-48.481807048791424
prod	-48.481807048791424
senio	-45.9110921041041
compliment	-43.44671261937344
king	-43.44671261937344
python	-42.84133256369704
upkeep	-42.84133256369704
anything	-40.66330350804438
pragmatic	-40.66330350804438
sw	-40.66330350804438
craft	-40.66330350804438
b2	-39.396805500095525
sole	-38.62248852982074
rating	-38.19892402331372
ram	-38.171307718972315
infras	-37.99900907574548
deve	-36.89444338526707
easa	-36.84105351658485
vessel	-35.29857258687322
ferry	-35.09365148923159
developme	-33.93569593007095
diagnosis	-31.71587925548929
nv1	-30.964726171432265
syst	-29.479779954277834
adf	-28.668168552200477
hse	-28.54478458291531
algorithm	-28.54478458291531
il	-28.01959406601438
mentorship	-26.85634247876798
military	-26.349823183505116
out	-26.22604070995175
luxury	-25.995397967494473
correctly	-25.963692988736668
prime	-25.955542398488173
jet	-25.6364867155987
verification	-25.41085865812206
exponential	-24.264435291031223
european	-24.074310097502494
cement	-23.637369331536817
charter	-23.621733045877907
microstation	-23.558682805407035
panel	-23.445454450693628
scheduler	-21.07264239597489
renewal	-20.463060538589605
naval	-20.371808288781494
ohw	-20.321070094437605
array	-20.321070094437605
rat	-18.99753673287362
oakland	-18.615421952013456
clearance	-18.584047945568773
bolster	-17.01927956117668
audit	-16.747351061885052
minor	-15.996230510897458
will	-15.600706229015692
avionics	-14.006320991456441
estimator	-13.947830820399833
availability	-13.909532478911618
majority	-13.523301828375573
wire	-12.539467867202871
maritime	-11.541941506725784
fault	-11.026905449041257
aviation	-10.298802330206442
electrician	-10.032262876025936
certificate	-9.836242154903843
preventative	-9.776441925550618
signal	-8.910556948159865
documentation	-7.2756777396441015
combat	-7.232256092319446
defence	-6.777844989598829
highway	-6.418195183755014
cad	-6.0631905413050795
repair	-4.696436092611698
aircraft	-2.4104240817062426
mechanic	-2.132369278665246
electrical	0.1813021873602505
civil	0.9357726881190773
drafter	3.5779728401165514
mechanical	4.369754372025638
