Words in 2016: 244
Words in 2017: 1776
Common words: 145
pharmacist	-34.02064373974051
geotechnical	-29.44849433228656
pharmacy	-23.63819645331617
urban	-22.397491024756537
professionally	-22.114773583318048
verification	-20.23867649717892
elmari	-20.15321407518935
council	-20.07929055089909
clinical	-20.05932541770448
sewerage	-19.60977770324562
instrument	-19.091039490108948
jayne	-17.753147770109667
stormwater	-17.652064951770207
ideally	-17.374884138408376
practitioner	-17.35523408085713
pipeline	-15.68634139488244
hydrology	-15.146925858475306
sacpcmp	-14.793326377113605
transformation	-14.009675639907638
meat	-13.757906556080776
sanitation	-13.30181959834048
healthy	-13.090090769161911
commence	-12.332983673501111
emergency	-11.524910040813637
flat	-11.458967674684061
geometric	-11.34371741515724
sacqsp	-10.875637752679438
maker	-10.875637752679438
dimension	-10.875637752679438
pavement	-10.811254386838723
xxxou	-10.323035567805881
factory	-9.814781217924748
chelsea	-9.150387900780547
tel	-9.150387900780547
sanc	-8.46381580803667
cur	-8.212994334205991
boilermaker	-7.993368949278089
transportation	-7.832653385194499
hospital	-7.797349149079875
coordinator	-7.528905698809496
sheq	-7.528905698809496
nurse	-7.437621266458521
agent	-7.269793310158644
rural	-7.003222936225544
gold	-6.822255831397005
strictly	-6.801656519374007
sanral	-6.741483987112962
bridge	-6.589025635991799
advert	-6.360964455806126
traffic	-6.296737214201997
dawn	-6.144687317554605
building	-5.39563400222509
provincial	-5.339741077956781
much	-5.229966817412777
r20k	-5.229966817412777
apartment	-5.181198723242506
pqs	-5.078285025990642
geology	-4.919510195470593
xxxrrespondence	-4.859331062049897
prokon	-4.793280821750791
turner	-4.732509758486399
specialty	-4.5374577009226655
possession	-4.326210213513384
theatre	-4.2531735908290855
survey	-4.148072696246536
duration	-4.09216417233651
bbbee	-4.0194087539285945
shift	-3.9916904326267515
voltage	-3.7061072461551845
surface	-3.6312247673412763
residential	-3.524516225964123
pmp	-3.2065000610895424
sewer	-2.9016183105744844
surveyor	-2.788159965090456
extensively	-2.688924143932738
station	-2.688924143932738
mall	-2.6099214456456856
technologist	-2.5686493681186926
winqs	-2.3170879437606544
anmari	-2.1862197030927284
resolve	-2.0103629566862145
ecsa	-1.7462869323814898
estimator	-1.6483229792528213
road	-1.6316266010778477
registration	-1.4728618755068
clinic	-1.450747716865287
xxx	-1.4160383632589537
xxxxx	-1.3307948980787643
seta	-1.2999048415382077
xxxx	-1.2850366874501167
structural	-1.029300662637441
quantity	-0.911569229055921
onsetter	-0.7454321184665673
timberman	-0.7454321184665673
ward	-0.5625353898471026
construction	-0.554640264564966
low	-0.35937519228524195
mep	1.1910845981260998
millwright	1.2417870369817834
township	1.4298535223250326
postgraduate	1.837297542409095
hvac	1.8971565194988393
section	2.195075826982288
mechanical	2.521697249071296
possibility	2.565882536277993
appoint	2.6158831795121564
underground	2.6828684518518475
supervisory	2.714193820881839
manufacture	2.7156443708970106
gcc	3.022252647250003
q	3.0452467734423365
shaft	3.3356317151096384
resident	3.4538439040583775
civil	3.565388813496871
highway	3.652313638650778
stefnie	3.7849054466965057
claim	3.9975996133382488
mine	4.0050272389045425
certificate	4.010977937512349
human	4.737772644575722
disciplinary	4.808359835132521
water	4.8732423507612115
blast	5.175152757371105
revit	5.3547933004215995
storm	5.733020933347149
draughtsman	6.412521141644387
prefer	6.439419266873305
year_experience	6.672261064487323
grad	6.84222127833635
earthwork	6.9022887280218885
reinforce	7.021159425655291
concrete	7.114469084088162
treatment	7.315694315033246
wet	7.341189010591826
n3	9.262933652972148
autocad	9.520425512633999
fault	9.886777596901268
steel	10.364724616162048
safe	10.911361637675586
beng	11.400664449180582
n5	12.319548664612839
technician	13.399765575182446
foreman	15.543688571354396
chain	18.274237754599717
waste	19.71901464602926
