Words in 2016: 552
Words in 2017: 7317
Common words: 425
lambda	-45.606003933282025
caitlin	-40.302748095328624
processor	-40.26296608254388
elastic	-38.30915775341043
development5	-38.28148716384081
modular	-37.88684517150298
quo	-37.30815610710239
numeracy	-37.20766979970527
solr	-36.956662260742604
reasonably	-36.956662260742604
agnostic	-36.956662260742604
iq	-36.440424334262374
consensus	-35.88284489660707
numerous	-35.27672153994389
fabric	-35.27672153994389
cakephp	-35.00882388085407
vacant	-34.61278852214953
spirit	-34.61278852214953
nerd	-34.61278852214953
procedural	-34.57318850694422
convert	-34.401312415684
megan	-34.29792697660966
ninja	-33.058365146498005
pig	-33.058365146498005
teamsqualifications	-32.851230592003446
karma	-32.397312140788074
bean	-32.12818223573761
complement	-32.12818223573761
jasmine	-32.12818223573761
compass	-31.611944309257392
copywriter	-31.421945851909374
helpful	-31.054364871602072
slice	-30.256606206174435
activemq	-30.175873396465633
zurb	-29.785526557320754
inspector	-29.784308497144547
swing	-29.65765637341977
elasticsearch	-29.57283239067901
suggestion	-29.12298154768594
eat	-29.084983912878204
keywords	-28.47723892939363
boot	-28.319843472640795
moderately	-28.22988512149301
referenceable	-28.22988512149301
mapreduce	-28.22988512149301
sun	-27.797465592746804
watch	-27.732131725326987
funnel	-27.207182554936104
krugersdorp	-27.19442458696018
clarify	-26.706740893798706
revise	-26.6440472578519
jboss	-26.502340841116734
verbally	-26.225884846597086
flex	-26.225884846597086
delphi	-26.19334678588431
inspire	-25.951971593495674
feb	-24.788698817629218
xsl	-24.77177964489195
delete	-24.72622999958623
fin	-24.72622999958623
sleep	-24.41729064172267
edit	-24.0939691311139
demonstrable	-24.019014661642583
consume	-23.97064845399645
conceptualization	-23.76145747512928
persistence	-23.755493280624066
hibernateexperience	-23.491502897277904
accommodate	-23.43970094817561
hesitate	-23.3154815027402
graphical	-23.13364624921157
heart	-22.88200665373318
netbeans	-22.711646242203646
strut	-22.49206360830809
dynamo	-21.63441563885636
customisation	-21.534169269169865
registration	-21.488212172073936
enthusiast	-21.45016820417647
gwt	-21.329051991733234
pure	-21.129907472980175
creatively	-21.00809813291393
transcript	-20.92557939331555
qv	-20.348866190187287
spark	-20.309590735758153
ec2	-19.980369841513333
scalability	-19.897749974581245
intensive	-19.897749974581245
meticulous	-19.8162720706752
latency	-18.833241284930917
ide	-18.78140305154978
experiment	-18.572925071483038
matrix	-18.555600777989028
joint	-18.269749762631992
seo	-18.09037693475888
bash	-17.96374311403422
compliant	-17.629652957454358
land	-17.5440257042865
junit	-17.50682231417306
popular	-17.500554721242462
phonegap	-17.30681893385759
dimension	-17.239146128466757
constructive	-17.196051144536966
quantum	-17.03912310027992
expression	-16.981024980646456
lifetime	-16.89858753032434
jenkins	-16.733806269883907
appoint	-16.68260566055318
realistic	-16.5960891882717
properly	-16.516286623472386
keyword	-16.196207716656417
nginx	-15.982918039474459
generally	-15.97489063470357
glassfish	-15.944371549912503
migrate	-15.930988712301136
xhtml	-15.925392122288294
thread	-15.512092466962152
mcp	-15.484469935886228
refactoring	-15.392739887129302
extension	-15.346027561789018
positon	-15.269008598822325
rabbitmq	-15.154358969765767
usability	-15.094650268020988
tsql	-14.795448875104334
nb	-14.69452503627392
index	-14.687928261474877
scratch	-14.42406011627233
concurrency	-14.250118647281301
elicitation	-14.206857577578859
grail	-14.004808429871897
tablet	-13.97272203251315
bridge	-13.97272203251315
roi	-13.843803614875178
bdd	-13.839723191653665
mcitp	-13.776678670970167
informal	-13.646085699777249
emerge	-13.47234757605537
bpm	-13.451381736707841
frame	-13.443031252300308
terminal	-13.34608327792299
jpa	-13.321675184926288
dhcp	-13.24692161067954
jdbc	-13.007968345289111
orm	-12.9567282676139
hyper	-12.895941860132385
photoshop	-12.77498746084969
flair	-12.753806638732815
drupal	-12.682117474940643
wireless	-12.68203298214057
maven	-12.452287827308467
jsp	-12.316809269269145
tdd	-12.247529840238215
psd	-12.23092363455984
kind	-12.211808699812572
qlikview	-12.018417950232182
apple	-11.673027307725167
trigger	-11.57822785341813
zend	-11.44098729909095
postgres	-11.396464182181465
adobe	-11.160541384305091
db	-11.135852842450836
jsf	-10.961192775521628
jms	-10.932022619399824
cm	-10.826762440259161
illustrator	-10.820208240367254
conformance	-10.788060846206161
alone	-10.690705256329064
transact	-10.511178366362191
accordingly	-10.500689183230506
cordova	-10.49472920553201
compatibility	-9.983764240325076
brilliant	-9.542678629237738
asynchronous	-9.534909372775498
responsive	-9.450959700516504
feedback	-9.436516152161452
marole	-9.317215693296575
something	-9.233487600660453
xxxxx	-9.178208097382017
eclipse	-9.17208363032087
se	-8.871822835231853
awesome	-8.803844069679243
grunt	-8.757187733706031
oop	-8.747383756482751
joomla	-8.746194705334148
virtualisation	-8.703561047730236
centos	-8.58114566799783
bamboo	-8.504579382655102
year_experiencestrong	-8.48490435635636
kelzi	-8.428156617284099
hibernate	-8.39512716678927
effort	-8.351893504373285
ionic	-8.197059507920365
ajax	-8.111862556013035
sas	-8.07863788815583
json	-7.918715327142227
j2ee	-7.8879335015855405
universal	-7.859224421536247
oo	-7.780831223036486
graphic	-7.644527388062425
kirstin	-7.481467230892816
audio	-7.4364465171017535
tcp	-7.345879800072304
soap	-7.253360184355371
woodmead	-7.208756423315389
distribute	-7.023457266308448
ant	-6.963130141543063
tomcat	-6.937182828568954
spec	-6.896902052447429
db2	-6.834550424404448
spring	-6.758169326743135
validate	-6.709292465124573
though	-6.709085844766176
enforce	-6.681473200827803
modification	-6.650293832159388
bright	-6.6423224424102045
nhibernate	-6.591871267859634
