id,title,created,description_from_url,description
569792552,Road Maintenance Supervisor (Wellington),2017-06-14T02:30:33Z,1,market leader infrastructure engineer service downer understand recognise contribution employee make success business downer nz inspire challenge chance create good future people share passion excellence desire inspire others experience practical think road maintenance team leader foreperson current supervisor look next challenge road maintenance team base porirua look supervisor join u assist local maintenance work across wide wellington region role opportunity take charge shape outcome make inform decision ability drive result knowledge road maintenance determine contract success part enthusiastic team deliver excellence role include responsibility site management supervision crew plan organise direct control activity operation road maintenance work quality inspection data collection assist claim work ensure work complete high standard target productivity quality safety meet road maintenance experience essential excellent verbal write communication skill ability influence demonstrate leadership behaviour empower others strong problem solve skill initiative strong collaboration skill ability drive project complete within specify time frame strong zero harm focus return offer outstanding work truly diverse operation work challenge reward offer supportive team environment excellent prospect career growth within successful downer team apply online keyword search advertise jun new zealand standard time application close jul new zealand standard time share email new job match search email address ok send job like email address invalid please check error must agree privacy statement subscribe search result experience practical think road maintenance team leader foreperson current supervisor look next challenge current opportunity experience practical think road maintenance team leader foreperson current supervisor look next challenge australia new zealand downer edi limit
570880430,Primary Care Strategic Development Manager,2017-06-15T01:27:49Z,0,primary care strategic development manager plan fund outcome waitemata district health board help develop best primary care everyone look self motivate highly energetic person join u primary care strategic development manager support deputy director fund develop strategic advice plan development primary care policy fantastic opportunity take lead development implementation key policy str
570880832,Assistant Project Manager - Facilities and Development,2017-06-15T01:28:29Z,0,assistant project manager facility development waitemata district health board facility development team provide property service base functional technical support waitemata dhb across multiple service location seek appoint assistant project manager experience support service process drive self motivate along keen eye detail role provide dedicate assistance ensure success full ring
570880878,Project and Programme Manager - Facilities Management Projects,2017-06-15T01:28:31Z,0,help u build good future facility development team provide property service base functional technical support waitemata auckland dhbs across multiple service location seek appoint result drive experience project manager specialise delivery project nzd spend role define organise manage coordination facility management project across site key responsibility include amongst
