2013	1
2013-12-0	1
2013-12-5	1
2014	6
2014-9-0	6
2014-9-4	6
2015	124
2015-1-0	7
2015-1-7	7
2015-5-0	1
2015-5-20	1
2015-6-0	6
2015-6-12	1
2015-6-17	5
2015-7-0	7
2015-7-2	4
2015-7-9	1
2015-7-21	1
2015-7-24	1
2015-8-0	14
2015-8-5	2
2015-8-26	12
2015-9-0	6
2015-9-2	1
2015-9-8	1
2015-9-10	1
2015-9-11	2
2015-9-12	1
2015-10-0	10
2015-10-6	2
2015-10-15	1
2015-10-20	3
2015-10-29	3
2015-10-30	1
2015-11-0	71
2015-11-6	3
2015-11-17	1
2015-11-21	66
2015-11-25	1
2015-12-0	2
2015-12-3	2
2016	485
2016-1-0	2
2016-1-7	1
2016-1-8	1
2016-4-0	48
2016-4-2	1
2016-4-13	2
2016-4-19	39
2016-4-22	2
2016-4-23	3
2016-4-26	1
2016-5-0	9
2016-5-1	1
2016-5-2	1
2016-5-6	1
2016-5-13	1
2016-5-19	1
2016-5-23	1
2016-5-25	1
2016-5-26	1
2016-5-27	1
2016-6-0	14
2016-6-1	2
2016-6-6	1
2016-6-7	1
2016-6-8	2
2016-6-10	1
2016-6-16	2
2016-6-22	1
2016-6-23	1
2016-6-26	1
2016-6-28	2
2016-7-0	20
2016-7-1	1
2016-7-2	1
2016-7-4	1
2016-7-5	2
2016-7-7	1
2016-7-8	2
2016-7-9	1
2016-7-12	2
2016-7-14	1
2016-7-20	1
2016-7-21	1
2016-7-22	1
2016-7-23	1
2016-7-24	1
2016-7-27	1
2016-7-28	1
2016-7-30	1
2016-8-0	28
2016-8-3	1
2016-8-4	1
2016-8-5	1
2016-8-16	3
2016-8-18	1
2016-8-19	1
2016-8-20	1
2016-8-23	1
2016-8-25	1
2016-8-26	1
2016-8-28	1
2016-8-30	14
2016-8-31	1
2016-9-0	29
2016-9-1	2
2016-9-2	3
2016-9-3	1
2016-9-6	1
2016-9-7	2
2016-9-9	1
2016-9-13	3
2016-9-14	1
2016-9-16	3
2016-9-20	2
2016-9-21	1
2016-9-22	4
2016-9-23	1
2016-9-25	1
2016-9-28	1
2016-9-29	1
2016-9-30	1
2016-10-0	58
2016-10-4	3
2016-10-6	2
2016-10-7	4
2016-10-8	29
2016-10-11	1
2016-10-13	3
2016-10-14	1
2016-10-19	1
2016-10-20	1
2016-10-23	1
2016-10-24	1
2016-10-26	1
2016-10-27	1
2016-10-28	3
2016-10-29	2
2016-10-31	4
2016-11-0	207
2016-11-3	10
2016-11-4	7
2016-11-5	1
2016-11-7	11
2016-11-8	6
2016-11-9	2
2016-11-10	12
2016-11-11	9
2016-11-12	5
2016-11-13	4
2016-11-15	8
2016-11-16	5
2016-11-17	6
2016-11-18	14
2016-11-19	10
2016-11-21	1
2016-11-22	9
2016-11-23	1
2016-11-24	15
2016-11-25	46
2016-11-26	2
2016-11-27	6
2016-11-28	6
2016-11-29	4
2016-11-30	7
2016-12-0	70
2016-12-1	3
2016-12-2	2
2016-12-3	1
2016-12-7	2
2016-12-8	1
2016-12-11	5
2016-12-13	3
2016-12-15	2
2016-12-16	2
2016-12-17	2
2016-12-19	1
2016-12-20	2
2016-12-22	36
2016-12-24	1
2016-12-25	2
2016-12-28	2
2016-12-29	1
2016-12-30	1
2016-12-31	1
2017	31925
2017-1-0	414
2017-1-1	1
2017-1-3	3
2017-1-5	3
2017-1-6	3
2017-1-8	1
2017-1-10	4
2017-1-11	15
2017-1-12	3
2017-1-13	18
2017-1-14	7
2017-1-15	1
2017-1-16	10
2017-1-17	6
2017-1-18	2
2017-1-19	44
2017-1-20	157
2017-1-21	9
2017-1-22	4
2017-1-23	5
2017-1-24	17
2017-1-25	18
2017-1-26	6
2017-1-27	42
2017-1-28	23
2017-1-29	5
2017-1-31	7
2017-2-0	324
2017-2-1	3
2017-2-2	9
2017-2-3	8
2017-2-4	38
2017-2-5	7
2017-2-6	4
2017-2-7	13
2017-2-8	28
2017-2-9	8
2017-2-10	11
2017-2-11	10
2017-2-12	3
2017-2-14	32
2017-2-15	37
2017-2-16	3
2017-2-17	20
2017-2-18	9
2017-2-19	2
2017-2-20	8
2017-2-21	11
2017-2-22	10
2017-2-23	16
2017-2-24	10
2017-2-25	13
2017-2-26	7
2017-2-27	1
2017-2-28	3
2017-3-0	1424
2017-3-1	7
2017-3-2	13
2017-3-3	7
2017-3-4	21
2017-3-5	19
2017-3-6	1
2017-3-7	15
2017-3-8	8
2017-3-9	15
2017-3-10	1015
2017-3-11	22
2017-3-12	6
2017-3-13	4
2017-3-14	12
2017-3-15	9
2017-3-16	12
2017-3-17	13
2017-3-18	21
2017-3-19	7
2017-3-20	7
2017-3-21	8
2017-3-22	26
2017-3-23	24
2017-3-24	18
2017-3-25	27
2017-3-26	15
2017-3-27	12
2017-3-28	10
2017-3-29	18
2017-3-30	10
2017-3-31	22
2017-4-0	1956
2017-4-1	13
2017-4-2	9
2017-4-3	7
2017-4-4	132
2017-4-5	38
2017-4-6	31
2017-4-7	22
2017-4-8	50
2017-4-9	10
2017-4-10	11
2017-4-11	14
2017-4-12	385
2017-4-13	62
2017-4-14	38
2017-4-15	44
2017-4-16	44
2017-4-17	2
2017-4-18	2
2017-4-19	24
2017-4-20	45
2017-4-21	41
2017-4-22	46
2017-4-23	56
2017-4-24	17
2017-4-25	40
2017-4-26	77
2017-4-27	116
2017-4-28	321
2017-4-29	98
2017-4-30	161
2017-5-0	14145
2017-5-1	22
2017-5-2	50
2017-5-3	99
2017-5-4	204
2017-5-5	498
2017-5-6	316
2017-5-7	366
2017-5-8	68
2017-5-9	151
2017-5-10	418
2017-5-11	99
2017-5-12	1505
2017-5-13	388
2017-5-14	152
2017-5-15	112
2017-5-16	673
2017-5-17	538
2017-5-18	706
2017-5-19	582
2017-5-20	820
2017-5-21	269
2017-5-22	324
2017-5-23	706
2017-5-24	809
2017-5-25	315
2017-5-26	856
2017-5-27	1039
2017-5-28	330
2017-5-29	168
2017-5-30	837
2017-5-31	725
2017-6-0	13662
2017-6-1	1020
2017-6-2	999
2017-6-3	1121
2017-6-4	473
2017-6-5	417
2017-6-6	876
2017-6-7	435
2017-6-8	1586
2017-6-9	1356
2017-6-10	1524
2017-6-11	404
2017-6-12	450
2017-6-13	1536
2017-6-14	1023
2017-6-15	442
