2017	342
2017-4-0	50
2017-4-7	24
2017-4-10	1
2017-4-11	9
2017-4-12	2
2017-4-14	1
2017-4-20	3
2017-4-25	7
2017-4-27	2
2017-4-28	1
2017-5-0	99
2017-5-7	2
2017-5-10	1
2017-5-15	1
2017-5-16	4
2017-5-17	12
2017-5-18	6
2017-5-19	11
2017-5-20	1
2017-5-22	7
2017-5-23	4
2017-5-24	4
2017-5-25	9
2017-5-26	8
2017-5-27	4
2017-5-28	1
2017-5-30	6
2017-6-0	193
2017-6-1	9
2017-6-2	5
2017-6-3	16
2017-6-4	1
2017-6-5	2
2017-6-6	26
2017-6-7	2
2017-6-8	14
2017-6-9	17
2017-6-11	1
2017-6-12	1
2017-6-13	45
2017-6-14	19
2017-6-15	35
